Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
261569,14Q2User 37,70204,1,30/06/2014,19:33,30/06/2014,20:23,2.63,Woodhouse Lane Car Park,APT 7kW Dual Outlet
261146,14Q2User 37,70204,2,29/06/2014,16:06,29/06/2014,17:40,5.82,Woodhouse Lane Car Park,APT 7kW Dual Outlet
260029,14Q2User 37,70204,2,25/06/2014,20:17,25/06/2014,21:18,2.84,Woodhouse Lane Car Park,APT 7kW Dual Outlet
253159,14Q2User 4,70200,1,08/06/2014,13:54,08/06/2014,15:43,6.58,Woodhouse Lane Car Park,APT 7kW Dual Outlet
250057,14Q2User 23,70204,1,30/05/2014,16:27,30/05/2014,17:10,1.63,Woodhouse Lane Car Park,APT 7kW Dual Outlet
248161,14Q2User 34,70201,1,26/05/2014,13:29,26/05/2014,16:24,10.46,Woodhouse Lane Car Park,APT 7kW Dual Outlet
247743,14Q2User 11,70200,2,24/05/2014,10:31,24/05/2014,11:16,1.28,Woodhouse Lane Car Park,APT 7kW Dual Outlet
243750,14Q2User 17,70202,1,12/05/2014,15:55,12/05/2014,17:27,5.7,Woodhouse Lane Car Park,APT 7kW Dual Outlet
243232,14Q2User 11,70202,1,10/05/2014,10:18,10/05/2014,11:04,1.26,Woodhouse Lane Car Park,APT 7kW Dual Outlet
236159,14Q2User 15,70204,2,18/04/2014,08:41,18/04/2014,18:11,4.7,Woodhouse Lane Car Park,APT 7kW Dual Outlet
234600,14Q2User 15,70204,2,12/04/2014,11:55,12/04/2014,21:12,5.39,Woodhouse Lane Car Park,APT 7kW Dual Outlet
233978,14Q2User 15,70204,2,10/04/2014,07:41,10/04/2014,17:12,5.63,Woodhouse Lane Car Park,APT 7kW Dual Outlet
