Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
1476622,16Q1User 643,70208,1,04/01/2016,08:02,04/01/2016,12:36,12.23,Elland Road Park and Ride,APT 7kW Dual Outlet
1476639,16Q1User 636,70205,1,04/01/2016,08:15,04/01/2016,17:36,14.27,Elland Road Park and Ride,APT 7kW Dual Outlet
1476776,16Q1User 38,70206,1,04/01/2016,09:45,04/01/2016,12:46,11.27,Elland Road Park and Ride,APT 7kW Dual Outlet
1477992,16Q1User 106,70202,1,05/01/2016,07:10,05/01/2016,17:46,6.3,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1478003,16Q1User 84,70207,1,05/01/2016,07:18,05/01/2016,15:50,9.86,Elland Road Park and Ride,APT 7kW Dual Outlet
1478045,16Q1User 636,70206,1,05/01/2016,07:51,05/01/2016,17:27,19.71,Elland Road Park and Ride,APT 7kW Dual Outlet
1478065,16Q1User 44,70204,2,05/01/2016,08:03,05/01/2016,12:24,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1478126,16Q1User 643,70208,1,05/01/2016,08:34,05/01/2016,17:46,11.53,Elland Road Park and Ride,APT 7kW Dual Outlet
1479535,16Q1User 121,70207,1,06/01/2016,07:00,06/01/2016,07:00,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1479540,16Q1User 121,70207,2,06/01/2016,07:03,06/01/2016,16:01,9.72,Elland Road Park and Ride,APT 7kW Dual Outlet
1479562,16Q1User 106,70202,1,06/01/2016,07:07,06/01/2016,17:55,6.57,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1479577,16Q1User 84,70208,1,06/01/2016,07:17,06/01/2016,15:50,6.34,Elland Road Park and Ride,APT 7kW Dual Outlet
1479689,16Q1User 643,70206,1,06/01/2016,08:38,06/01/2016,08:38,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1479692,16Q1User 643,70206,2,06/01/2016,08:39,,,,Elland Road Park and Ride,APT 7kW Dual Outlet
