Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
384954,15Q1User 636,70208,1,05/01/2015,09:03,05/01/2015,17:03,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
385563,15Q1User 628,70208,1,06/01/2015,09:04,06/01/2015,17:05,3.93,Elland Road Park and Ride,APT 7kW Dual Outlet
385578,15Q1User 636,70205,1,06/01/2015,09:35,06/01/2015,18:17,19.61,Elland Road Park and Ride,APT 7kW Dual Outlet
386323,15Q1User 628,70208,1,07/01/2015,09:02,07/01/2015,16:59,10.17,Elland Road Park and Ride,APT 7kW Dual Outlet
387054,15Q1User 44,70204,2,08/01/2015,08:10,08/01/2015,12:38,8.5,Woodhouse Lane Car Park,APT 7kW Dual Outlet
387085,15Q1User 628,70208,1,08/01/2015,08:57,08/01/2015,16:48,9.06,Elland Road Park and Ride,APT 7kW Dual Outlet
387172,15Q1User 636,70206,1,08/01/2015,11:28,08/01/2015,18:48,16.62,Elland Road Park and Ride,APT 7kW Dual Outlet
388093,15Q1User 628,70208,1,09/01/2015,09:24,09/01/2015,09:30,0.3,Elland Road Park and Ride,APT 7kW Dual Outlet
388952,15Q1User 51,70208,1,10/01/2015,09:51,10/01/2015,10:35,2.52,Elland Road Park and Ride,APT 7kW Dual Outlet
389789,15Q1User 628,70208,1,12/01/2015,09:07,,,,Elland Road Park and Ride,APT 7kW Dual Outlet
389818,15Q1User 636,70205,1,12/01/2015,09:43,12/01/2015,18:28,20.19,Elland Road Park and Ride,APT 7kW Dual Outlet
390527,15Q1User 44,70204,2,13/01/2015,08:14,13/01/2015,19:47,9.57,Woodhouse Lane Car Park,APT 7kW Dual Outlet
390573,15Q1User 628,70208,1,13/01/2015,09:04,13/01/2015,16:39,10.21,Elland Road Park and Ride,APT 7kW Dual Outlet
390587,15Q1User 636,70206,1,13/01/2015,09:17,13/01/2015,17:55,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
390879,15Q1User 55,70207,1,13/01/2015,14:18,13/01/2015,16:41,4.7,Elland Road Park and Ride,APT 7kW Dual Outlet
391247,15Q1User 636,70205,1,14/01/2015,09:01,14/01/2015,18:59,15.91,Elland Road Park and Ride,APT 7kW Dual Outlet
391250,15Q1User 628,70208,1,14/01/2015,09:06,14/01/2015,11:52,9.1,Elland Road Park and Ride,APT 7kW Dual Outlet
391285,15Q1User 55,70207,1,14/01/2015,10:26,14/01/2015,11:43,4.21,Elland Road Park and Ride,APT 7kW Dual Outlet
391975,15Q1User 22,70204,1,15/01/2015,07:59,15/01/2015,12:34,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
392057,15Q1User 636,70205,1,15/01/2015,09:59,15/01/2015,18:29,15.96,Elland Road Park and Ride,APT 7kW Dual Outlet
392773,15Q1User 628,70208,1,16/01/2015,09:19,16/01/2015,17:27,-19.31,Elland Road Park and Ride,APT 7kW Dual Outlet
393168,15Q1User 44,70204,2,16/01/2015,13:35,16/01/2015,15:31,5.83,Woodhouse Lane Car Park,APT 7kW Dual Outlet
395441,15Q1User 636,70206,1,19/01/2015,10:13,19/01/2015,18:48,6.43,Elland Road Park and Ride,APT 7kW Dual Outlet
395541,15Q1User 3,70207,1,19/01/2015,12:31,19/01/2015,12:58,1.62,Elland Road Park and Ride,APT 7kW Dual Outlet
396489,15Q1User 636,70205,1,20/01/2015,08:58,20/01/2015,19:56,13.52,Elland Road Park and Ride,APT 7kW Dual Outlet
396512,15Q1User 628,70208,1,20/01/2015,09:13,20/01/2015,16:55,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
398833,15Q1User 628,70208,1,21/01/2015,09:17,21/01/2015,17:00,10.42,Elland Road Park and Ride,APT 7kW Dual Outlet
398949,15Q1User 636,70205,1,21/01/2015,11:26,21/01/2015,20:13,16.24,Elland Road Park and Ride,APT 7kW Dual Outlet
399999,15Q1User 3,70206,1,21/01/2015,23:18,21/01/2015,23:34,0.96,Elland Road Park and Ride,APT 7kW Dual Outlet
400474,15Q1User 636,70205,1,22/01/2015,09:14,22/01/2015,17:37,22.37,Elland Road Park and Ride,APT 7kW Dual Outlet
401363,15Q1User 636,70205,1,23/01/2015,08:18,23/01/2015,15:39,16.2,Elland Road Park and Ride,APT 7kW Dual Outlet
401394,15Q1User 628,70208,1,23/01/2015,09:08,23/01/2015,16:21,12.75,Elland Road Park and Ride,APT 7kW Dual Outlet
402872,15Q1User 636,70205,1,26/01/2015,08:22,26/01/2015,16:54,19.34,Elland Road Park and Ride,APT 7kW Dual Outlet
402907,15Q1User 628,70208,1,26/01/2015,09:09,26/01/2015,17:00,3.67,Elland Road Park and Ride,APT 7kW Dual Outlet
403675,15Q1User 44,70204,2,27/01/2015,07:41,27/01/2015,17:26,8.93,Woodhouse Lane Car Park,APT 7kW Dual Outlet
403724,15Q1User 636,70205,1,27/01/2015,09:06,27/01/2015,18:30,15.21,Elland Road Park and Ride,APT 7kW Dual Outlet
403726,15Q1User 628,70208,1,27/01/2015,09:09,27/01/2015,15:50,5.79,Elland Road Park and Ride,APT 7kW Dual Outlet
405049,15Q1User 636,70205,1,28/01/2015,08:38,28/01/2015,20:10,13.07,Elland Road Park and Ride,APT 7kW Dual Outlet
405717,15Q1User 3,70206,1,28/01/2015,20:47,28/01/2015,20:47,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
405718,15Q1User 3,70206,1,28/01/2015,20:47,28/01/2015,22:45,6.81,Elland Road Park and Ride,APT 7kW Dual Outlet
406828,15Q1User 628,70208,1,30/01/2015,08:58,30/01/2015,15:18,4.76,Elland Road Park and Ride,APT 7kW Dual Outlet
406845,15Q1User 636,70206,1,30/01/2015,09:26,30/01/2015,16:20,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
407720,15Q1User 631,70206,1,31/01/2015,14:25,31/01/2015,16:53,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
408347,15Q1User 636,70205,1,02/02/2015,09:07,02/02/2015,20:05,20.12,Elland Road Park and Ride,APT 7kW Dual Outlet
