Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
383322,User 31,70206,2,12/31/2014,11:25,12/31/2014,11:35,0.57,Elland Road Park and Ride,APT 7kW Dual Outlet
383031,User 635,70206,1,12/30/2014,13:58,12/30/2014,15:24,4.52,Elland Road Park and Ride,APT 7kW Dual Outlet
381777,User 38,70201,2,12/27/2014,18:13,12/27/2014,19:08,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
380951,User 629,70208,1,12/24/2014,11:37,12/24/2014,12:06,3.16,Elland Road Park and Ride,APT 7kW Dual Outlet
377470,User 626,70204,2,12/18/2014,09:29,12/18/2014,11:56,3.16,Woodhouse Lane Car Park,APT 7kW Dual Outlet
377434,User 44,70204,1,12/18/2014,08:36,12/18/2014,16:56,7.15,Woodhouse Lane Car Park,APT 7kW Dual Outlet
376244,User 51,70204,1,12/16/2014,14:30,12/16/2014,18:16,8.44,Woodhouse Lane Car Park,APT 7kW Dual Outlet
375881,User 44,70203,2,12/16/2014,07:52,12/16/2014,16:00,8.76,Woodhouse Lane Car Park,APT 7kW Dual Outlet
362686,User 11,70201,2,12/12/2014,20:32,12/12/2014,22:12,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
361804,User 44,70203,1,12/11/2014,16:48,12/11/2014,19:57,5.77,Woodhouse Lane Car Park,APT 7kW Dual Outlet
350687,User 21,70207,1,12/10/2014,13:47,12/10/2014,14:20,1.81,Elland Road Park and Ride,APT 7kW Dual Outlet
350514,User 21,70207,1,12/10/2014,13:02,12/10/2014,13:44,2.32,Elland Road Park and Ride,APT 7kW Dual Outlet
347632,User 38,70203,2,12/05/2014,09:58,12/05/2014,13:19,12.48,Woodhouse Lane Car Park,APT 7kW Dual Outlet
345355,User 44,70202,2,12/02/2014,07:35,12/02/2014,14:30,9.92,Woodhouse Lane Car Park,APT 7kW Dual Outlet
344471,User 37,70204,2,11/30/2014,13:53,11/30/2014,14:47,3.26,Woodhouse Lane Car Park,APT 7kW Dual Outlet
343962,User 632,70207,1,11/29/2014,11:26,11/29/2014,16:04,19.46,Elland Road Park and Ride,APT 7kW Dual Outlet
342876,User 44,70204,1,11/27/2014,14:56,11/27/2014,19:30,7.71,Woodhouse Lane Car Park,APT 7kW Dual Outlet
342594,User 16,70204,2,11/27/2014,11:22,11/27/2014,17:52,20.53,Woodhouse Lane Car Park,APT 7kW Dual Outlet
339452,User 631,70207,1,11/22/2014,10:47,,,,Elland Road Park and Ride,APT 7kW Dual Outlet
333991,User 37,70204,2,11/14/2014,06:10,11/14/2014,17:44,9.21,Woodhouse Lane Car Park,APT 7kW Dual Outlet
332906,User 44,70204,1,11/12/2014,13:55,11/12/2014,19:58,5.52,Woodhouse Lane Car Park,APT 7kW Dual Outlet
332717,User 43,70206,1,11/12/2014,12:37,11/12/2014,16:56,32.14,Elland Road Park and Ride,APT 7kW Dual Outlet
330598,User 37,70204,2,11/07/2014,19:57,11/07/2014,22:18,8.75,Woodhouse Lane Car Park,APT 7kW Dual Outlet
327584,User 630,70202,1,11/02/2014,19:36,11/02/2014,21:32,7.42,Woodhouse Lane Car Park,APT 7kW Dual Outlet
327480,User 37,70204,1,11/02/2014,13:20,11/02/2014,17:36,13.08,Woodhouse Lane Car Park,APT 7kW Dual Outlet
325325,User 19,70204,2,10/29/2014,20:33,10/30/2014,16:45,24.45,Woodhouse Lane Car Park,APT 7kW Dual Outlet
323355,User 37,70204,1,10/26/2014,23:35,10/26/2014,23:50,0.9,Woodhouse Lane Car Park,APT 7kW Dual Outlet
322722,User 45,70203,1,10/25/2014,18:03,10/25/2014,18:35,1.93,Woodhouse Lane Car Park,APT 7kW Dual Outlet
321917,User 44,70204,2,10/24/2014,07:07,10/24/2014,09:46,6.57,Woodhouse Lane Car Park,APT 7kW Dual Outlet
320162,User 37,70204,2,10/21/2014,10:13,10/21/2014,14:39,6.58,Woodhouse Lane Car Park,APT 7kW Dual Outlet
316996,User 37,70204,2,10/16/2014,20:30,10/16/2014,20:33,0.09,Woodhouse Lane Car Park,APT 7kW Dual Outlet
316849,User 37,70204,1,10/16/2014,18:51,10/16/2014,20:30,6.13,Woodhouse Lane Car Park,APT 7kW Dual Outlet
316313,User 13,70203,2,10/15/2014,18:18,10/16/2014,04:33,9.37,Woodhouse Lane Car Park,APT 7kW Dual Outlet
316312,User 13,70203,1,10/15/2014,18:18,10/15/2014,18:18,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
315925,User 628,70208,1,10/15/2014,09:00,10/15/2014,18:35,9.63,Elland Road Park and Ride,APT 7kW Dual Outlet
315425,User 44,70204,2,10/14/2014,08:59,10/14/2014,12:59,10.62,Woodhouse Lane Car Park,APT 7kW Dual Outlet
313736,User 628,70208,1,10/10/2014,09:03,10/10/2014,17:29,7.41,Elland Road Park and Ride,APT 7kW Dual Outlet
313051,User 628,70208,1,10/09/2014,09:18,10/09/2014,17:29,9.89,Elland Road Park and Ride,APT 7kW Dual Outlet
313050,User 628,70208,1,10/09/2014,09:16,10/09/2014,09:16,0,Elland Road Park and Ride,APT 7kW Dual Outlet
312768,User 44,70204,2,10/08/2014,17:12,10/08/2014,19:54,5.62,Woodhouse Lane Car Park,APT 7kW Dual Outlet
312418,User 629,70208,1,10/08/2014,09:18,10/08/2014,09:50,3.52,Elland Road Park and Ride,APT 7kW Dual Outlet
311874,User 629,70208,1,10/07/2014,11:43,10/07/2014,11:54,1.11,Elland Road Park and Ride,APT 7kW Dual Outlet
311870,User 629,70208,1,10/07/2014,11:28,10/07/2014,11:30,0,Elland Road Park and Ride,APT 7kW Dual Outlet
311116,User 37,70204,2,10/05/2014,12:34,10/05/2014,13:45,4.49,Woodhouse Lane Car Park,APT 7kW Dual Outlet
309636,User 628,70208,1,10/02/2014,09:06,10/02/2014,17:18,12.58,Elland Road Park and Ride,APT 7kW Dual Outlet
308414,User 628,70208,1,9/30/2014,09:09,9/30/2014,17:16,0,Elland Road Park and Ride,APT 7kW Dual Outlet
307709,User 11,70206,1,9/28/2014,16:19,9/28/2014,17:15,3.36,Elland Road Park and Ride,APT 7kW Dual Outlet
306347,User 602,70208,1,9/25/2014,12:48,9/25/2014,14:41,4.29,Elland Road Park and Ride,APT 7kW Dual Outlet
306264,User 628,70208,1,9/25/2014,09:09,9/25/2014,12:47,8.19,Elland Road Park and Ride,APT 7kW Dual Outlet
305151,User 628,70208,1,9/23/2014,09:09,9/23/2014,17:11,11.33,Elland Road Park and Ride,APT 7kW Dual Outlet
304709,User 16,70204,1,9/22/2014,11:05,9/22/2014,14:40,13.19,Woodhouse Lane Car Park,APT 7kW Dual Outlet
304426,User 625,70203,1,9/21/2014,11:22,9/21/2014,11:50,1.46,Woodhouse Lane Car Park,APT 7kW Dual Outlet
302960,User 628,70208,1,9/18/2014,09:08,9/18/2014,16:26,12.4,Elland Road Park and Ride,APT 7kW Dual Outlet
301993,User 628,70208,1,9/16/2014,09:49,9/16/2014,16:18,12.55,Elland Road Park and Ride,APT 7kW Dual Outlet
300033,User 38,70200,2,09/11/2014,16:33,09/11/2014,19:24,10.68,Woodhouse Lane Car Park,APT 7kW Dual Outlet
292987,User 628,70208,2,09/05/2014,09:16,09/05/2014,16:51,12.51,Elland Road Park and Ride,APT 7kW Dual Outlet
292126,User 37,70204,2,09/03/2014,17:53,09/03/2014,19:14,5.15,Woodhouse Lane Car Park,APT 7kW Dual Outlet
292074,User 37,70202,2,09/03/2014,14:55,09/03/2014,15:11,1.04,Woodhouse Lane Car Park,APT 7kW Dual Outlet
291875,User 628,70208,1,09/03/2014,10:15,09/03/2014,17:12,10.22,Elland Road Park and Ride,APT 7kW Dual Outlet
286512,User 37,70204,1,8/27/2014,14:53,8/27/2014,17:08,7.4,Woodhouse Lane Car Park,APT 7kW Dual Outlet
284910,User 42,70201,1,8/23/2014,08:39,8/23/2014,08:39,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
284656,User 42,70201,2,8/22/2014,17:08,8/23/2014,08:39,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
284020,User 42,70204,2,8/21/2014,16:03,8/22/2014,10:07,17.01,Woodhouse Lane Car Park,APT 7kW Dual Outlet
283482,User 42,70204,1,8/20/2014,16:58,8/21/2014,10:03,5.82,Woodhouse Lane Car Park,APT 7kW Dual Outlet
283186,User 42,70203,1,8/20/2014,08:32,8/20/2014,08:32,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
282972,User 42,70203,1,8/19/2014,16:55,8/20/2014,08:31,11.05,Woodhouse Lane Car Park,APT 7kW Dual Outlet
282753,User 37,70204,1,8/19/2014,10:09,8/19/2014,11:38,5.53,Woodhouse Lane Car Park,APT 7kW Dual Outlet
282508,User 42,70203,1,8/18/2014,17:03,8/19/2014,08:48,12.28,Woodhouse Lane Car Park,APT 7kW Dual Outlet
282507,User 42,70203,1,8/18/2014,17:02,8/18/2014,17:02,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
281553,User 42,70203,1,8/15/2014,16:12,8/18/2014,08:37,19.85,Woodhouse Lane Car Park,APT 7kW Dual Outlet
281295,User 42,70203,1,8/15/2014,07:38,8/15/2014,07:39,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
279838,User 42,70203,1,8/13/2014,17:10,8/14/2014,07:37,17.26,Woodhouse Lane Car Park,APT 7kW Dual Outlet
278553,User 42,70203,1,08/12/2014,10:34,8/13/2014,08:37,19.77,Woodhouse Lane Car Park,APT 7kW Dual Outlet
278517,User 42,70203,1,08/12/2014,08:36,08/12/2014,08:41,0.29,Woodhouse Lane Car Park,APT 7kW Dual Outlet
274698,User 9,70204,1,08/05/2014,10:38,08/05/2014,12:54,7.7,Woodhouse Lane Car Park,APT 7kW Dual Outlet
270653,User 37,70204,1,7/24/2014,20:09,7/24/2014,21:05,3.55,Woodhouse Lane Car Park,APT 7kW Dual Outlet
266514,User 37,70204,1,7/13/2014,11:01,7/13/2014,11:33,2.05,Woodhouse Lane Car Park,APT 7kW Dual Outlet
264599,User 2,70205,1,07/07/2014,12:27,07/07/2014,12:28,0.04,Elland Road Park and Ride,APT 7kW Dual Outlet
