Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
1084155,User 44,70201,1,07/02/2015,17:13,07/02/2015,21:21,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1087776,User 64,70201,1,07/05/2015,15:56,07/05/2015,17:32,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1088487,User 628,70206,2,07/06/2015,09:03,07/06/2015,17:07,3.48,Elland Road Park and Ride,APT 7kW Dual Outlet
1089925,User 628,70206,2,07/07/2015,08:56,07/07/2015,16:57,6.46,Elland Road Park and Ride,APT 7kW Dual Outlet
1094520,User 58,70205,1,07/10/2015,09:21,07/10/2015,14:43,9.67,Elland Road Park and Ride,APT 7kW Dual Outlet
1095239,User 87,70203,1,07/10/2015,17:37,07/10/2015,23:22,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1096288,User 64,70206,2,07/11/2015,16:35,07/11/2015,16:36,0,Elland Road Park and Ride,APT 7kW Dual Outlet
1096289,User 64,70206,2,07/11/2015,16:36,07/11/2015,19:08,14.78,Elland Road Park and Ride,APT 7kW Dual Outlet
1097286,User 63,70204,2,07/12/2015,14:29,07/12/2015,17:05,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1097291,User 84,70201,1,07/12/2015,14:40,07/12/2015,16:11,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1099789,User 58,70205,1,7/14/2015,11:39,7/14/2015,16:41,9.98,Elland Road Park and Ride,APT 7kW Dual Outlet
1101223,User 628,70206,2,7/15/2015,08:55,7/15/2015,16:40,9,Elland Road Park and Ride,APT 7kW Dual Outlet
1102911,User 628,70206,2,7/16/2015,08:53,7/16/2015,17:00,6.72,Elland Road Park and Ride,APT 7kW Dual Outlet
1106181,User 67,70207,1,7/18/2015,12:52,7/18/2015,18:30,9.85,Elland Road Park and Ride,APT 7kW Dual Outlet
1108358,User 628,70206,1,7/20/2015,08:47,7/20/2015,16:30,2.39,Elland Road Park and Ride,APT 7kW Dual Outlet
1109826,User 628,70206,1,7/21/2015,08:46,7/21/2015,16:18,5.74,Elland Road Park and Ride,APT 7kW Dual Outlet
1110454,User 57,70208,1,7/21/2015,14:02,7/21/2015,14:17,1.72,Elland Road Park and Ride,APT 7kW Dual Outlet
1111384,User 636,70205,1,7/22/2015,07:44,7/22/2015,17:02,17.92,Elland Road Park and Ride,APT 7kW Dual Outlet
1111426,User 628,70206,1,7/22/2015,08:35,7/22/2015,16:42,6.17,Elland Road Park and Ride,APT 7kW Dual Outlet
1112964,User 636,70205,1,7/23/2015,08:10,7/23/2015,17:34,12.94,Elland Road Park and Ride,APT 7kW Dual Outlet
1114616,User 628,70206,1,7/24/2015,08:39,7/24/2015,16:52,10.06,Elland Road Park and Ride,APT 7kW Dual Outlet
1115736,User 51,70203,1,7/24/2015,19:09,7/24/2015,22:08,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1117718,User 636,70205,1,7/27/2015,08:35,7/27/2015,17:25,15.76,Elland Road Park and Ride,APT 7kW Dual Outlet
1118746,User 636,70205,1,7/28/2015,08:28,7/28/2015,16:53,13.69,Elland Road Park and Ride,APT 7kW Dual Outlet
1118761,User 628,70206,1,7/28/2015,08:41,7/28/2015,17:46,11.09,Elland Road Park and Ride,APT 7kW Dual Outlet
1120286,User 636,70205,1,7/29/2015,08:25,7/29/2015,17:12,13.73,Elland Road Park and Ride,APT 7kW Dual Outlet
1128836,User 636,70205,1,08/04/2015,08:18,08/04/2015,17:20,11.13,Elland Road Park and Ride,APT 7kW Dual Outlet
