Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
1397680,User 636,70205,1,12/11/2015,08:16,12/11/2015,15:29,12.9,Elland Road Park and Ride,APT 7kW Dual Outlet
1398690,User 44,70202,1,12/11/2015,16:43,12/11/2015,19:02,5.95,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1399386,User 106,70200,2,13/11/2015,06:58,13/11/2015,17:07,6.56,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1399617,User 110,70205,2,13/11/2015,08:54,13/11/2015,14:52,23.04,Elland Road Park and Ride,APT 7kW Dual Outlet
1401890,User 10,70203,2,14/11/2015,15:23,14/11/2015,17:09,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1402754,User 63,70204,1,15/11/2015,11:25,15/11/2015,12:19,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1403688,User 84,70207,1,16/11/2015,07:14,16/11/2015,15:50,16.52,Elland Road Park and Ride,APT 7kW Dual Outlet
1404059,User 636,70205,1,16/11/2015,10:30,16/11/2015,18:41,13.35,Elland Road Park and Ride,APT 7kW Dual Outlet
1405563,User 76,70204,1,17/11/2015,06:25,17/11/2015,08:16,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1405575,User 636,70205,1,17/11/2015,06:58,17/11/2015,14:30,12.61,Elland Road Park and Ride,APT 7kW Dual Outlet
1405935,User 102,70200,2,17/11/2015,09:52,17/11/2015,17:34,11.34,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1406857,User 76,70201,1,17/11/2015,16:32,18/11/2015,08:00,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1409388,User 76,70201,2,18/11/2015,20:57,19/11/2015,08:23,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1409593,User 636,70205,1,19/11/2015,06:54,19/11/2015,12:12,16.11,Elland Road Park and Ride,APT 7kW Dual Outlet
1409956,User 88,70201,1,19/11/2015,10:24,19/11/2015,14:30,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1410745,User 76,70204,2,19/11/2015,16:39,19/11/2015,16:41,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1412384,User 76,70201,1,20/11/2015,13:46,23/11/2015,11:19,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1415586,User 636,70205,1,23/11/2015,07:18,23/11/2015,17:01,14.88,Elland Road Park and Ride,APT 7kW Dual Outlet
1417205,User 636,70205,1,24/11/2015,07:29,24/11/2015,17:33,14.42,Elland Road Park and Ride,APT 7kW Dual Outlet
1417343,User 110,70205,2,24/11/2015,08:45,24/11/2015,17:39,12.54,Elland Road Park and Ride,APT 7kW Dual Outlet
1418870,User 636,70205,1,25/11/2015,07:00,25/11/2015,16:19,14.57,Elland Road Park and Ride,APT 7kW Dual Outlet
1419237,User 38,70206,1,25/11/2015,11:03,25/11/2015,17:29,18.25,Elland Road Park and Ride,APT 7kW Dual Outlet
1420755,User 636,70205,1,26/11/2015,07:29,26/11/2015,16:34,13.94,Elland Road Park and Ride,APT 7kW Dual Outlet
1421229,User 44,70204,2,26/11/2015,12:25,26/11/2015,15:15,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
