Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
1476622,User 643,70208,1,04/01/2016,08:02,04/01/2016,12:36,12.23,Elland Road Park and Ride,APT 7kW Dual Outlet
1476639,User 636,70205,1,04/01/2016,08:15,04/01/2016,17:36,14.27,Elland Road Park and Ride,APT 7kW Dual Outlet
1476776,User 38,70206,1,04/01/2016,09:45,04/01/2016,12:46,11.27,Elland Road Park and Ride,APT 7kW Dual Outlet
1477992,User 106,70202,1,05/01/2016,07:10,05/01/2016,17:46,6.3,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1478003,User 84,70207,1,05/01/2016,07:18,05/01/2016,15:50,9.86,Elland Road Park and Ride,APT 7kW Dual Outlet
1478045,User 636,70206,1,05/01/2016,07:51,05/01/2016,17:27,19.71,Elland Road Park and Ride,APT 7kW Dual Outlet
1478065,User 44,70204,2,05/01/2016,08:03,05/01/2016,12:24,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1478126,User 643,70208,1,05/01/2016,08:34,05/01/2016,17:46,11.53,Elland Road Park and Ride,APT 7kW Dual Outlet
1479535,User 121,70207,1,06/01/2016,07:00,06/01/2016,07:00,0,Elland Road Park and Ride,APT 7kW Dual Outlet
1479540,User 121,70207,2,06/01/2016,07:03,06/01/2016,16:01,9.72,Elland Road Park and Ride,APT 7kW Dual Outlet
1479562,User 106,70202,1,06/01/2016,07:07,06/01/2016,17:55,6.57,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1479577,User 84,70208,1,06/01/2016,07:17,06/01/2016,15:50,6.34,Elland Road Park and Ride,APT 7kW Dual Outlet
1479689,User 643,70206,1,06/01/2016,08:38,06/01/2016,08:38,0,Elland Road Park and Ride,APT 7kW Dual Outlet
1479692,User 643,70206,2,06/01/2016,08:39,,,,Elland Road Park and Ride,APT 7kW Dual Outlet
1479705,User 643,70208,2,06/01/2016,08:43,06/01/2016,08:43,0,Elland Road Park and Ride,APT 7kW Dual Outlet
1479708,User 643,70208,2,06/01/2016,08:44,06/01/2016,17:40,1.84,Elland Road Park and Ride,APT 7kW Dual Outlet
1479734,User 636,70206,1,06/01/2016,08:51,06/01/2016,17:37,-12.73,Elland Road Park and Ride,APT 7kW Dual Outlet
1480654,User 84,70208,1,06/01/2016,15:50,06/01/2016,15:51,0,Elland Road Park and Ride,APT 7kW Dual Outlet
1481278,User 121,70207,2,07/01/2016,06:55,07/01/2016,15:35,9.2,Elland Road Park and Ride,APT 7kW Dual Outlet
1481354,User 121,70206,1,07/01/2016,06:52,07/01/2016,06:52,0,Elland Road Park and Ride,APT 7kW Dual Outlet
1481355,User 84,70206,1,07/01/2016,07:21,07/01/2016,16:12,13.79,Elland Road Park and Ride,APT 7kW Dual Outlet
1481359,User 636,70205,1,07/01/2016,07:44,07/01/2016,17:26,18.91,Elland Road Park and Ride,APT 7kW Dual Outlet
1481444,User 643,70208,1,07/01/2016,08:33,07/01/2016,17:34,14.24,Elland Road Park and Ride,APT 7kW Dual Outlet
1482087,User 44,70204,2,07/01/2016,13:47,07/01/2016,17:03,0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1483224,User 106,70202,1,08/01/2016,07:13,08/01/2016,15:18,5.38,Woodhouse Lane Car Park,APT 7kW Dual Outlet
