Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
10327542,User 620,70200,2,24/08/2020,18:05,25/08/2020,09:53,0.9,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10327543,User 624,70200,1,24/08/2020,18:17,25/08/2020,08:45,4.01,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10327979,User 615,70203,2,24/08/2020,21:30,25/08/2020,18:03,8.77,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10328105,User 618,70202,1,24/08/2020,21:38,24/08/2020,21:40,0.09,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10328107,User 613,70202,1,24/08/2020,21:40,25/08/2020,10:00,14.92,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10328269,User 546,70204,1,25/08/2020,07:06,25/08/2020,15:02,2.95,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10328318,User 1115,51468,2,25/08/2020,07:18,25/08/2020,16:04,11.6,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10328331,User 1123,70202,2,25/08/2020,07:22,25/08/2020,14:38,18.94,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10328735,User 1118,51467,2,25/08/2020,08:54,25/08/2020,17:07,7.22,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10328752,User 472,70201,1,25/08/2020,08:57,25/08/2020,10:30,1.25,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10328786,User 372,70200,1,25/08/2020,09:02,25/08/2020,15:02,8.58,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10329531,User 451,70201,1,25/08/2020,12:28,25/08/2020,13:52,4.99,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10330151,User 621,70201,1,25/08/2020,14:42,26/08/2020,10:01,21.86,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10330367,User 618,70201,2,25/08/2020,15:40,26/08/2020,09:58,17.37,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10330368,User 612,70204,2,25/08/2020,15:41,26/08/2020,10:16,9.4,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10330371,User 624,70202,2,25/08/2020,15:41,26/08/2020,09:03,9.03,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10330605,User 613,70204,1,25/08/2020,16:35,25/08/2020,18:09,9.72,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10330614,User 149,70200,1,25/08/2020,16:39,26/08/2020,09:01,9.21,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10331438,User 613,70203,2,25/08/2020,21:12,26/08/2020,05:48,6.4,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10331473,User 615,51468,2,25/08/2020,21:40,26/08/2020,18:22,23.2,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10331475,User 623,70204,1,25/08/2020,21:40,26/08/2020,18:11,12.14,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10331960,User 546,70203,2,26/08/2020,08:12,26/08/2020,16:10,4.26,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10332060,User 1118,51467,2,26/08/2020,08:38,26/08/2020,15:57,7.4,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10332173,User 372,70202,1,26/08/2020,09:00,26/08/2020,15:38,8.45,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10333259,User 839,70200,2,26/08/2020,13:34,26/08/2020,15:20,12.27,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10333396,User 613,70201,2,26/08/2020,14:07,26/08/2020,17:52,5.31,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10334074,User 618,70204,2,26/08/2020,16:37,26/08/2020,18:07,5,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10334082,User 621,70202,1,26/08/2020,16:38,26/08/2020,17:56,4.83,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10334127,User 612,70202,2,26/08/2020,16:50,26/08/2020,19:07,4.23,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10334466,User 623,70203,2,26/08/2020,18:17,27/08/2020,17:58,10.3,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10334473,User 624,70200,2,26/08/2020,18:21,27/08/2020,08:56,8.26,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10334503,User 620,51468,2,26/08/2020,18:28,26/08/2020,22:59,1.92,Woodhouse Lane Car Park,APT 7kW Dual Outlet
